Date, Close/Last, Volume, Open, High, Low
3/31/20,$254.29 ,49250500,$255.60 ,$262.49 ,$252 
3/30/20,$254.81 ,41994110,$250.74 ,$255.52 ,$249.40 
3/27/20,$247.74 ,51054150,$252.75 ,$255.87 ,$247.05 
3/26/20,$258.44 ,63140170,$246.52 ,$258.68 ,$246.36 
3/25/20,$245.52 ,75900510,$250.75 ,$258.25 ,$244.30 
3/24/20,$246.88 ,71882770,$236.36 ,$247.69 ,$234.30 
3/23/20,$224.37 ,84188210,$228.08 ,$228.50 ,$212.61 
3/20/20,$229.24 ,100423300,$247.18 ,$251.83 ,$228 
3/19/20,$244.78 ,67964260,$247.39 ,$252.84 ,$242.61 
3/18/20,$246.67 ,75058410,$239.77 ,$250 ,$237.12 
3/17/20,$252.86 ,81013970,$247.51 ,$257.61 ,$238.40 
3/16/20,$242.21 ,80605870,$241.95 ,$259.08 ,$240 
3/13/20,$277.97 ,92683030,$264.89 ,$279.92 ,$252.95 
3/12/20,$248.23 ,104618500,$255.94 ,$270 ,$248 
3/11/20,$275.43 ,64094970,$277.39 ,$281.22 ,$271.86 
3/10/20,$285.34 ,71322520,$277.14 ,$286.44 ,$269.37 
3/9/20,$266.17 ,71686210,$263.75 ,$278.09 ,$263 
3/6/20,$289.03 ,56544250,$282 ,$290.82 ,$281.23 
3/5/20,$292.92 ,46893220,$295.52 ,$299.55 ,$291.41 
3/4/20,$302.74 ,54794570,$296.44 ,$303.40 ,$293.13 
3/3/20,$289.32 ,79868850,$303.67 ,$304 ,$285.80 
3/2/20,$298.81 ,85349340,$282.28 ,$301.44 ,$277.72 
2/28/20,$273.36 ,106721200,$257.26 ,$278.41 ,$256.37 
2/27/20,$273.52 ,80151380,$281.10 ,$286 ,$272.96 
2/26/20,$292.65 ,49678430,$286.53 ,$297.88 ,$286.50 
2/25/20,$288.08 ,57668360,$300.95 ,$302.53 ,$286.13 
2/24/20,$298.18 ,55548830,$297.26 ,$304.18 ,$289.23 
2/21/20,$313.05 ,32426420,$318.62 ,$320.45 ,$310.50 
2/20/20,$320.30 ,25141490,$322.63 ,$324.65 ,$318.21 
2/19/20,$323.62 ,23495990,$320 ,$324.57 ,$320 
2/18/20,$319 ,38190550,$315.36 ,$319.75 ,$314.61 
2/14/20,$324.95 ,20028450,$324.74 ,$325.98 ,$322.85 
2/13/20,$324.87 ,23686890,$324.19 ,$326.22 ,$323.35 
2/12/20,$327.20 ,28432570,$321.47 ,$327.22 ,$321.47 
2/11/20,$319.61 ,23580780,$323.60 ,$323.90 ,$318.71 
2/10/20,$321.55 ,27337220,$314.18 ,$321.55 ,$313.85 
2/7/20,$320.03 ,29421010,$322.37 ,$323.40 ,$318 
2/6/20,$325.21 ,26356390,$322.57 ,$325.22 ,$320.26 
2/5/20,$321.45 ,29706720,$323.52 ,$324.76 ,$318.95 
2/4/20,$318.85 ,34154130,$315.31 ,$319.64 ,$313.63 
2/3/20,$308.66 ,43496400,$304.30 ,$313.49 ,$302.22 
1/31/20,$309.51 ,49897100,$320.93 ,$322.68 ,$308.29 
1/30/20,$323.87 ,31685810,$320.54 ,$324.09 ,$318.75 
1/29/20,$324.34 ,54149930,$324.45 ,$327.85 ,$321.38 
1/28/20,$317.69 ,40558490,$312.60 ,$318.40 ,$312.19 
1/27/20,$308.95 ,40485010,$310.06 ,$311.77 ,$304.88 
1/24/20,$318.31 ,36634380,$320.25 ,$323.33 ,$317.52 
1/23/20,$319.23 ,26117990,$317.92 ,$319.56 ,$315.65 
1/22/20,$317.70 ,25458120,$318.58 ,$319.99 ,$317.31 
1/21/20,$316.57 ,27710810,$317.19 ,$319.02 ,$316 
1/17/20,$318.73 ,34454120,$316.27 ,$318.74 ,$315 
1/16/20,$315.24 ,27207250,$313.59 ,$315.70 ,$312.09 
1/15/20,$311.34 ,30480880,$311.85 ,$315.50 ,$309.55 
1/14/20,$312.68 ,40653460,$316.70 ,$317.57 ,$312.17 
1/13/20,$316.96 ,30521720,$311.64 ,$317.07 ,$311.15 
1/10/20,$310.33 ,35217270,$310.60 ,$312.67 ,$308.25 
1/9/20,$309.63 ,42621540,$307.24 ,$310.43 ,$306.20 
1/8/20,$303.19 ,33090950,$297.16 ,$304.44 ,$297.16 
1/7/20,$298.39 ,27877660,$299.84 ,$300.90 ,$297.48 
1/6/20,$299.80 ,29644640,$293.79 ,$299.96 ,$292.75 
1/3/20,$297.43 ,36633880,$297.15 ,$300.58 ,$296.50 
1/2/20,$300.35 ,33911860,$296.24 ,$300.60 ,$295.19 
12/31/19,$293.65 ,25247630,$289.93 ,$293.68 ,$289.52 
12/30/19,$291.52 ,36059610,$289.46 ,$292.69 ,$285.22 
12/27/19,$289.80 ,36592940,$291.12 ,$293.97 ,$288.12 
12/26/19,$289.91 ,23334000,$284.82 ,$289.98 ,$284.70 
12/24/19,$284.27 ,12119710,$284.69 ,$284.89 ,$282.92 
12/23/19,$284 ,24677880,$280.53 ,$284.25 ,$280.37 
12/20/19,$279.44 ,69032740,$282.23 ,$282.65 ,$278.56 
12/19/19,$280.02 ,24626950,$279.50 ,$281.18 ,$278.95 
12/18/19,$279.74 ,29024690,$279.80 ,$281.90 ,$279.12 
