Category: All categories

Week,greta thunberg: (Nevada),climate change: (Nevada)
2015-07-12,0,5
2015-07-19,0,9
2015-07-26,0,5
2015-08-02,0,5
2015-08-09,0,9
2015-08-16,0,5
2015-08-23,0,4
2015-08-30,0,13
2015-09-06,0,0
2015-09-13,0,9
2015-09-20,0,17
2015-09-27,0,4
2015-10-04,0,13
2015-10-11,0,21
2015-10-18,0,0
2015-10-25,0,0
2015-11-01,0,10
2015-11-08,0,0
2015-11-15,0,29
2015-11-22,0,0
2015-11-29,0,31
2015-12-06,0,20
2015-12-13,0,26
2015-12-20,0,10
2015-12-27,0,5
2016-01-03,0,4
2016-01-10,0,11
2016-01-17,0,29
2016-01-24,0,12
2016-01-31,0,16
2016-02-07,0,11
2016-02-14,0,26
2016-02-21,0,19
2016-02-28,0,16
2016-03-06,0,19
2016-03-13,0,19
2016-03-20,0,4
2016-03-27,0,19
2016-04-03,0,15
2016-04-10,0,15
2016-04-17,0,30
2016-04-24,0,8
2016-05-01,0,15
2016-05-08,0,8
2016-05-15,0,16
2016-05-22,0,4
2016-05-29,0,0
2016-06-05,0,4
2016-06-12,0,0
2016-06-19,0,0
2016-06-26,0,4
2016-07-03,0,8
2016-07-10,0,12
2016-07-17,0,0
2016-07-24,0,8
2016-07-31,0,11
2016-08-07,0,0
2016-08-14,0,0
2016-08-21,0,0
2016-08-28,0,0
2016-09-04,0,19
2016-09-11,0,18
2016-09-18,0,0
2016-09-25,0,14
2016-10-02,0,11
2016-10-09,0,14
2016-10-16,0,10
2016-10-23,0,11
2016-10-30,0,4
2016-11-06,0,31
2016-11-13,0,14
2016-11-20,0,7
2016-11-27,0,17
2016-12-04,0,13
2016-12-11,0,10
2016-12-18,0,4
2016-12-25,0,3
2017-01-01,0,7
2017-01-08,0,10
2017-01-15,0,23
2017-01-22,0,39
2017-01-29,0,30
2017-02-05,0,30
2017-02-12,0,23
2017-02-19,0,13
2017-02-26,0,26
2017-03-05,0,19
2017-03-12,0,25
2017-03-19,0,6
2017-03-26,0,33
2017-04-02,0,19
2017-04-09,0,0
2017-04-16,0,23
2017-04-23,0,23
2017-04-30,0,16
2017-05-07,0,10
2017-05-14,0,0
2017-05-21,0,20
2017-05-28,0,59
2017-06-04,0,27
2017-06-11,0,10
2017-06-18,0,6
2017-06-25,0,0
2017-07-02,0,7
2017-07-09,0,10
2017-07-16,0,7
2017-07-23,0,7
2017-07-30,0,3
2017-08-06,0,3
2017-08-13,0,13
2017-08-20,0,3
2017-08-27,0,6
2017-09-03,0,25
2017-09-10,0,15
2017-09-17,0,16
2017-09-24,0,17
2017-10-01,0,13
2017-10-08,0,3
2017-10-15,0,3
2017-10-22,0,6
2017-10-29,0,22
2017-11-05,0,3
2017-11-12,0,16
2017-11-19,0,7
2017-11-26,0,19
2017-12-03,0,16
2017-12-10,0,10
2017-12-17,0,3
2017-12-24,0,4
2017-12-31,0,3
2018-01-07,0,3
2018-01-14,0,10
2018-01-21,0,28
2018-01-28,0,25
2018-02-04,0,25
2018-02-11,0,16
2018-02-18,0,12
2018-02-25,0,9
2018-03-04,0,12
2018-03-11,0,3
2018-03-18,0,13
2018-03-25,0,3
2018-04-01,0,13
2018-04-08,0,6
2018-04-15,0,9
2018-04-22,0,9
2018-04-29,0,13
2018-05-06,0,3
2018-05-13,0,3
2018-05-20,0,0
2018-05-27,0,3
2018-06-03,0,7
2018-06-10,0,0
2018-06-17,0,7
2018-06-24,0,3
2018-07-01,0,3
2018-07-08,0,3
2018-07-15,0,7
2018-07-22,0,10
2018-07-29,0,0
2018-08-05,0,13
2018-08-12,0,3
2018-08-19,0,3
2018-08-26,0,3
2018-09-02,0,10
2018-09-09,0,13
2018-09-16,0,10
2018-09-23,0,10
2018-09-30,0,16
2018-10-07,0,23
2018-10-14,0,20
2018-10-21,0,23
2018-10-28,0,17
2018-11-04,0,9
2018-11-11,0,26
2018-11-18,0,14
2018-11-25,0,34
2018-12-02,0,10
2018-12-09,0,20
2018-12-16,0,10
2018-12-23,4,7
2018-12-30,0,0
2019-01-06,0,19
2019-01-13,0,9
2019-01-20,0,19
2019-01-27,0,19
2019-02-03,3,34
2019-02-10,0,40
2019-02-17,0,22
2019-02-24,0,15
2019-03-03,0,6
2019-03-10,0,25
2019-03-17,0,26
2019-03-24,0,25
2019-03-31,3,10
2019-04-07,0,29
2019-04-14,0,13
2019-04-21,0,16
2019-04-28,0,19
2019-05-05,0,16
2019-05-12,0,19
2019-05-19,0,22
2019-05-26,0,10
2019-06-02,0,7
2019-06-09,0,7
2019-06-16,0,7
2019-06-23,0,0
2019-06-30,0,13
2019-07-07,0,13
2019-07-14,0,17
2019-07-21,0,10
2019-07-28,0,13
2019-08-04,0,16
2019-08-11,6,10
2019-08-18,3,18
2019-08-25,6,12
2019-09-01,0,21
2019-09-08,9,6
2019-09-15,9,17
2019-09-22,100,44
2019-09-29,32,41
2019-10-06,21,33
2019-10-13,9,12
2019-10-20,0,24
2019-10-27,9,9
2019-11-03,6,12
2019-11-10,12,26
2019-11-17,15,24
2019-11-24,9,9
2019-12-01,11,17
2019-12-08,62,21
2019-12-15,43,3
2019-12-22,6,6
2019-12-29,3,12
2020-01-05,14,26
2020-01-12,11,22
2020-01-19,8,23
2020-01-26,6,17
2020-02-02,11,11
2020-02-09,8,20
2020-02-16,0,19
2020-02-23,13,24
2020-03-01,5,11
2020-03-08,18,23
2020-03-15,5,8
2020-03-22,11,8
2020-03-29,3,18
2020-04-05,10,5
2020-04-12,3,13
2020-04-19,0,10
2020-04-26,5,10
2020-05-03,3,18
2020-05-10,3,10
2020-05-17,0,3
2020-05-24,0,10
2020-05-31,3,3
2020-06-07,3,3
2020-06-14,0,3
2020-06-21,0,0
2020-06-28,3,0
2020-07-05,3,0
