,Release Date,Title,Role,Distributor,Genre,Production Budget,Opening Weekend,Opening Theaters,Maximum Theaters,Theatrical Engagements,Domestic Box Office,International Box Office,Worldwide Box Office,Unnamed: 13,Director,Stopped Making Movies,Personal Role Count,Personal Director Count,Personal Movie count,Profit,Cumulated Profit,Profitable Movie Count,Unprofitable Movie Count,Unknown profit Movie Count,Profitable Movie Director Count,Unprofitable Movie Director Count,Unknown profit Movie Director Count
0,2021-06-04,Micronauts,Producer,Paramount Pictures,Adventure,,,,,,,,,0.0,J.J. Abrams,False,27,,18.0,,6063242463.0,0,0,3,0,0,0
1,2019-12-20,Star Wars: The Rise of Skyw…,Director,Walt Disney,Adventure,275000000,177383864,4406,4406,29704,515202542,558267058,1073469600,798469600.0,J.J. Abrams,False,26,6.0,17.0,798469600.0,6063242463.0,15,0,0,6,0,0
2,2019-12-20,Star Wars: The Rise of Skyw…,Screenwriter,Walt Disney,Adventure,275000000,177383864,4406,4406,29704,515202542,558267058,1073469600,798469600.0,J.J. Abrams,False,25,,17.0,798469600.0,6063242463.0,15,0,0,0,0,0
3,2019-12-20,Star Wars: The Rise of Skyw…,Producer,Walt Disney,Adventure,275000000,177383864,4406,4406,29704,515202542,558267058,1073469600,798469600.0,J.J. Abrams,False,24,,17.0,798469600.0,6063242463.0,15,0,0,0,0,0
4,2018-11-09,Overlord,Producer,Paramount Pictures,Action,38000000,10202108,2859,2859,8038,21704844,17473345,39178189,1178189.0,J.J. Abrams,False,23,,16.0,1178189.0,5264772863.0,14,0,0,0,0,0
5,2018-07-27,Mission: Impossible—Fallout,Producer,Paramount Pictures,Action,178000000,61236534,4386,4395,27928,220159104,567017625,787176729,609176729.0,J.J. Abrams,False,22,,15.0,609176729.0,5263594674.0,13,0,0,0,0,0
6,2016-07-22,Star Trek Beyond,Producer,Paramount Pictures,Adventure,185000000,59253211,3928,3928,20357,158848340,176953893,335802233,150802233.0,J.J. Abrams,False,21,,14.0,150802233.0,4654417945.0,12,0,0,0,0,0
7,2016-03-11,10 Cloverfield Lane,Producer,Paramount Pictures,Thriller/Suspense,15000000,24727437,3391,3427,16734,72082999,36203423,108286422,93286422.0,J.J. Abrams,False,20,,13.0,93286422.0,4503615712.0,11,0,0,0,0,0
8,2015-12-18,Star Wars Ep. VII: The Forc…,Director,Walt Disney,Adventure,306000000,247966675,4134,4134,37852,936662225,1128815859,2065478084,1759478084.0,J.J. Abrams,False,19,5.0,12.0,1759478084.0,4410329290.0,10,0,0,5,0,0
9,2015-12-18,Star Wars Ep. VII: The Forc…,Screenwriter,Walt Disney,Adventure,306000000,247966675,4134,4134,37852,936662225,1128815859,2065478084,1759478084.0,J.J. Abrams,False,18,,12.0,1759478084.0,4410329290.0,10,0,0,0,0,0
10,2015-12-18,Star Wars Ep. VII: The Forc…,Producer,Walt Disney,Adventure,306000000,247966675,4134,4134,37852,936662225,1128815859,2065478084,1759478084.0,J.J. Abrams,False,17,,12.0,1759478084.0,4410329290.0,10,0,0,0,0,0
11,2015-07-31,Mission: Impossible—Rogue N…,Producer,Paramount Pictures,Action,150000000,55520089,3956,3988,27828,195042377,493816615,688858992,538858992.0,J.J. Abrams,False,16,,11.0,538858992.0,2650851206.0,9,0,0,0,0,0
12,2015-06-19,Infinitely Polar Bear,Executive Producer,Sony Pictures Classics,Comedy,,47398,5,110,701,1430655,699431,2130086,2130086.0,J.J. Abrams,False,15,,10.0,,2111992214.0,0,0,2,0,0,0
13,2013-05-16,Star Trek Into Darkness,Director,Paramount Pictures,Adventure,190000000,70165559,3868,3907,22815,228778661,238602923,467381584,277381584.0,J.J. Abrams,False,14,4.0,9.0,277381584.0,2111992214.0,8,0,0,4,0,0
